AIRCRAFT | NBR_FLIGHTS | ROUTE | TOTAL_FLYING_TIME 
N215AK | 21 | IAH_SEA_436_633 (252.0) → SEA_PDX_691_734 (280.0) → PDX_SEA_802_863 (312.0) → SEA_CHS_1953_2458 (586.0) → CHS_SEA_2521_2683 (905.0) → SEA_FAI_2805_2961 (1101.0) → FAI_SEA_3042_3301 (1282.0) → SEA_FLL_3369_3924 (1608.0) → FLL_SEA_4061_4270 (1961.0) → SEA_ATL_4839_5320 (2226.0) → ATL_SEA_5398_5546 (2522.0) → SEA_OAK_5627_5760 (2619.0) → OAK_SEA_6109_6238 (2725.0) → SEA_CMH_6361_6805 (2961.0) → CMH_SEA_6864_6999 (3247.0) → SEA_PDX_7072_7123 (3274.0) → PDX_TPA_7771_8259 (3556.0) → TPA_PDX_8448_8624 (3896.0) → PDX_FLL_9198_9715 (4206.0) → FLL_SFO_9772_9962 (4556.0) → SFO_FLL_10021_10517 (4845.0) | 4845.0

N263AK | 26 | PDX_BUR_429_565 (107.0) → BUR_PDX_620_757 (226.0) → PDX_PSP_826_956 (339.0) → PSP_PDX_1010_1152 (461.0) → PDX_LAS_1206_1327 (566.0) → LAS_SEA_1789_1947 (693.0) → SEA_BWI_2029_2516 (973.0) → BWI_SEA_2581_2742 (1287.0) → SEA_MSY_2832_3243 (1535.0) → MSY_SEA_3318_3494 (1803.0) → SEA_PSC_3554_3618 (1839.0) → PSC_SEA_3672_3731 (1875.0) → SEA_BOS_3818_4315 (2161.0) → BOS_SEA_4872_5056 (2494.0) → SEA_PHX_5231_5447 (2625.0) → PHX_SEA_5507_5648 (2796.0) → SEA_EWR_6108_6608 (3089.0) → EWR_SFO_6699_6894 (3440.0) → SFO_PDX_6945_7056 (3525.0) → PDX_BUR_7640_7771 (3630.0) → BUR_PDX_7824_7985 (3763.0) → PDX_PSP_8046_8178 (3876.0) → PSP_PDX_8224_8392 (4024.0) → PDX_SEA_9025_9082 (4058.0) → SEA_BOS_9150_9673 (4367.0) → BOS_SEA_9787_10013 (4705.0) | 4705.0

N267AK | 20 | SEA_JNU_1127_1222 (125.0) → JNU_SEA_1918_2130 (247.0) → SEA_PHX_2195_2422 (395.0) → PHX_SEA_2491_2605 (541.0) → SEA_PHX_2658_2915 (695.0) → PHX_PDX_3237_3334 (831.0) → PDX_FLL_3415_3946 (1153.0) → FLL_SFO_4018_4223 (1498.0) → SFO_FLL_4283_4797 (1793.0) → FLL_PDX_4900_5105 (2153.0) → PDX_JFK_5198_5695 (2441.0) → JFK_SEA_6459_6637 (2772.0) → SEA_ATL_6719_7181 (3037.0) → ATL_SEA_7615_7762 (3325.0) → SEA_LAS_7856_7996 (3438.0) → LAS_PAE_8050_8218 (3584.0) → PAE_PHX_8284_8498 (3724.0) → PHX_PDX_8993_9097 (3871.0) → PDX_DFW_9175_9532 (4066.0) → DFW_PDX_9586_9718 (4287.0) | 4287.0

N268AK | 21 | PDX_PHX_414_631 (134.0) → PHX_PDX_691_808 (280.0) → PDX_PHX_864_1069 (409.0) → PHX_SEA_1194_1320 (569.0) → SEA_SAT_1423_1775 (782.0) → SAT_SEA_1857_1992 (1016.0) → SEA_IND_2066_2491 (1238.0) → IND_SEA_2561_2650 (1486.0) → SEA_BOS_3383_3872 (1772.0) → BOS_SEA_3965_4159 (2110.0) → SEA_FAI_4269_4428 (2301.0) → FAI_SEA_4484_4755 (2492.0) → SEA_CHS_4836_5345 (2779.0) → CHS_SEA_5400_5568 (3098.0) → SEA_ORD_6364_6743 (3311.0) → ORD_SEA_6815_6982 (3550.0) → SEA_FAI_7062_7234 (3752.0) → FAI_SEA_7300_7571 (3933.0) → SEA_SFO_7632_7791 (4028.0) → SFO_ORD_9058_9429 (4252.0) → ORD_SFO_9530_9696 (4522.0) | 4522.0

N277AK | 27 | SEA_FAT_375_503 (113.0) → FAT_SEA_559_687 (221.0) → SEA_ANC_799_933 (399.0) → ANC_SEA_1062_1344 (587.0) → SEA_ORD_1401_1741 (790.0) → ORD_SEA_1807_1944 (1018.0) → SEA_IAD_2038_2527 (1290.0) → IAD_SEA_2584_2741 (1599.0) → SEA_IAH_2838_3229 (1831.0) → IAH_SEA_3299_3463 (2075.0) → SEA_DEN_3550_3770 (2211.0) → DEN_SEA_3827_3928 (2350.0) → SEA_SAN_4005_4151 (2471.0) → SAN_TPA_4795_5235 (2704.0) → TPA_SAN_5307_5449 (2992.0) → SAN_SEA_5512_5695 (3146.0) → SEA_DAL_6207_6549 (3345.0) → DAL_SEA_6619_6766 (3595.0) → SEA_STL_6837_7194 (3794.0) → STL_SEA_7614_7836 (4026.0) → SEA_MCI_7916_8251 (4211.0) → MCI_SEA_8308_8432 (4411.0) → SEA_JNU_8494_8605 (4557.0) → JNU_SEA_9259_9463 (4656.0) → SEA_DEN_9579_9790 (4786.0) → DEN_SEA_9846_9966 (4941.0) → SEA_FAI_10053_10220 (5145.0) | 5145.0

