Minimum ground time required between two consecutive flights (length of shortest ordinary arc): 35 minutes						
Maximum ground time allowed between two consecutive flights (length of longest ordinary arc): 1435 minutes						
Minimum ground time required between two consecutive flights with a replenishment arc in between (length of shortest replenishment arc): 480 minutes						
Maximum ground time allowed between two consecutive flights with a replenishment arc in between (length of longest replenishment arc): 1440 minutes	
					
Index	Date	From	Departure	To	Arrival	Day Change
0	1.1.2000	VLN	11:19	OWB	15:35	0
1	1.1.2000	GLH	11:35	VLN	15:42	0
2	1.1.2000	ORF	11:46	LMM	15:42	0
3	1.1.2000	MDT	11:58	GLH	13:42	0
4	1.1.2000	MDT	12:00	MEM	13:31	0
5	1.1.2000	ORF	12:01	COD	15:24	0
6	1.1.2000	MIA	12:11	BUR	16:36	0
7	1.1.2000	MSN	12:13	GUC	14:02	0
8	1.1.2000	BOG	12:21	MIA	15:13	0
9	1.1.2000	LAF	12:23	MZF	14:20	0
10	1.1.2000	LAF	12:38	GCM	15:28	0
11	1.1.2000	LRM	12:47	MSN	16:44	0
12	1.1.2000	MKE	12:48	UII	16:18	0
13	1.1.2000	IJX	12:49	MKL	13:23	0
14	1.1.2000	ROC	12:53	COD	15:50	0
15	1.1.2000	NZC	12:54	SDH	15:04	0
16	1.1.2000	MZF	12:55	LNK	14:13	0
17	1.1.2000	MSN	12:56	LRM	16:52	0
18	1.1.2000	MSN	12:59	BUR	16:09	0
19	1.1.2000	LWT	13:09	BET	17:26	0
20	1.1.2000	MKE	13:10	MDT	14:18	0
21	1.1.2000	MEM	13:12	NZC	14:18	0
22	1.1.2000	IJX	13:13	SEA	16:23	0
23	1.1.2000	MIA	13:14	BOG	16:06	0
24	1.1.2000	MLU	13:16	YGX	16:24	0
25	1.1.2000	GUC	13:16	MSN	15:06	0
26	1.1.2000	MKL	13:21	FSM	13:56	0
27	1.1.2000	LRM	13:21	UNI	14:34	0
28	1.1.2000	LWT	13:26	GUC	14:32	0
29	1.1.2000	GCM	13:26	MZF	16:23	0
30	1.1.2000	MEM	13:34	NZC	14:39	0
31	1.1.2000	MKE	13:36	YGX	15:26	0
32	1.1.2000	FSM	13:39	MKL	14:14	0
33	1.1.2000	ORF	13:39	COD	17:02	0
34	1.1.2000	MKL	13:46	FSM	14:21	0
35	1.1.2000	UNI	13:49	JNA	18:06	0
36	1.1.2000	MEM	13:53	MDT	15:24	0
37	1.1.2000	LAS	13:57	PHX	14:26	0
38	1.1.2000	LNK	14:01	GUC	15:05	0
39	1.1.2000	COD	14:06	ROC	17:03	0
40	1.1.2000	MKL	14:06	IJX	14:40	0
41	1.1.2000	PHX	14:10	LAS	14:39	0
42	1.1.2000	LNK	14:10	GUC	15:14	0
43	1.1.2000	MIA	14:10	BUR	18:36	0
44	1.1.2000	YXS	14:12	COD	15:53	0
45	1.1.2000	GLH	14:20	MDT	16:04	0
46	1.1.2000	SAN	14:35	YXS	17:23	0
47	1.1.2000	FSM	14:38	MKL	15:13	0
48	1.1.2000	MKL	14:51	LAS	17:38	0
49	1.1.2000	MEM	14:52	SDH	17:31	0
50	1.1.2000	MKE	14:56	UII	18:26	0
51	1.1.2000	BFL	15:03	UII	19:34	0
52	1.1.2000	MEM	15:12	SDH	17:51	0
53	1.1.2000	PHX	15:15	LAS	15:44	0
54	1.1.2000	MKL	15:17	IJX	15:50	0
55	1.1.2000	UNI	15:18	JNA	19:35	0
56	1.1.2000	GCM	15:20	LAF	18:10	0
57	1.1.2000	PHX	15:23	LAS	15:52	0
58	1.1.2000	IJX	15:24	MKL	15:58	0
59	1.1.2000	MKL	15:31	FSM	16:06	0
60	1.1.2000	BFL	15:34	LAS	15:59	0
61	1.1.2000	MZF	15:36	LNK	16:54	0
62	1.1.2000	GUC	15:37	LWT	16:43	0
63	1.1.2000	GUC	15:39	MSN	17:29	0
64	1.1.2000	LAS	15:44	MKL	18:30	0
65	1.1.2000	SEA	15:45	IJX	18:55	0
66	1.1.2000	NZC	15:48	SDH	17:59	0
67	1.1.2000	NZC	15:53	SDH	18:04	0
68	1.1.2000	MSN	16:00	LRM	19:56	0
69	1.1.2000	MKL	16:04	LAS	18:50	0
70	1.1.2000	LRM	16:06	UNI	17:20	0
71	1.1.2000	BET	16:09	LWT	20:25	0
72	1.1.2000	LRM	16:17	UNI	17:30	0
73	1.1.2000	GUC	16:18	LNK	17:22	0
74	1.1.2000	COD	16:21	ORF	19:44	0
